code,product_name,brands,categories,categories_tags,countries,countries_tags,nutriscore_grade,nova_group,last_modified_t,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,sodium_100g,product_name_pref,last_modified_ts,brands_arr,brands_clean_arr,brand_primary,categories_arr,categories_codes,primary_category_code,countries_arr,countries_codes,country_primary_code,event_date,has_name,has_brands,core_nutrients_count,completeness_score,quality_issues_json
6.0,,,,,en:germany,en:germany,,,1760218930,,,,,,,,,,,2025-10-11T21:42:10.000Z,,,,,,,"[\"en:germany\"]","[\"germany\"]",germany,2025-10-11,0,0,0,0.0,
12.0,Besan chilla with stuffed chciken,toneop,"dietary supplements,bodybuilding supplements,groceries,supplement","en:dietary-supplements,en:bodybuilding-supplements,en:groceries,en:supplement",germany,en:germany,not-applicable,,1752600888,,,,,,,,,,Besan chilla with stuffed chciken,2025-07-15T17:34:48.000Z,"[\"toneop\"]","[\"toneop\"]",toneop,"[\"en:dietary-supplements\",\"en:bodybuilding-supplements\",\"en:groceries\",\"en:supplement\"]","[\"dietary-supplements\",\"bodybuilding-supplements\",\"groceries\",\"supplement\"]",dietary-supplements,"[\"en:germany\"]","[\"germany\"]",germany,2025-07-15,1,1,0,0.2857142857142857,
13.0,Powdered peanut butter,pbfit,"snacks, meals, rice dishes, risottos, powder peanut butter","en:snacks,en:meals,en:rice-dishes,en:risottos,en:powder-peanut-butter",en:switzerland,en:switzerland,c,,1744243884,45.0,188.0,13.0,6.7,3.6,0.0625,11.0,,0.025,Powdered peanut butter,2025-04-10T00:11:24.000Z,"[\"pbfit\"]","[\"pbfit\"]",pbfit,"[\"en:snacks\",\"en:meals\",\"en:rice-dishes\",\"en:risottos\",\"en:powder-peanut-butter\"]","[\"snacks\",\"meals\",\"rice-dishes\",\"risottos\",\"powder-peanut-butter\"]",snacks,"[\"en:switzerland\"]","[\"switzerland\"]",switzerland,2025-04-10,1,1,5,1.0,
58.0,Frosty dishes Econom,,,,en:moldova,en:moldova,unknown,,1730873550,,,,,,,,,,Frosty dishes Econom,2024-11-06T06:12:30.000Z,,,,,,,"[\"en:moldova\"]","[\"moldova\"]",moldova,2024-11-06,1,0,0,0.14285714285714285,
79.0,Vitamine C poudre,nutrivita,"snacks,snacks sucrés,cacao et dérivés,chocolats,compléments alimentaires","en:snacks,en:sweet-snacks,en:cocoa-and-its-products,en:chocolates,en:dietary-supplements","france,espagne","en:france,en:spain",not-applicable,,1737622679,,,,,,,,,,Vitamine C poudre,2025-01-23T08:57:59.000Z,"[\"nutrivita\"]","[\"nutrivita\"]",nutrivita,"[\"en:snacks\",\"en:sweet-snacks\",\"en:cocoa-and-its-products\",\"en:chocolates\",\"en:dietary-supplements\"]","[\"snacks\",\"sweet-snacks\",\"cocoa-and-its-products\",\"chocolates\",\"dietary-supplements\"]",snacks,"[\"en:france\",\"en:spain\"]","[\"france\",\"spain\"]",france,2025-01-23,1,1,0,0.2857142857142857,
87.0,leite egua,piraque,ayurvedic herb,en:ayurvedic-herb,brasil,en:brazil,unknown,,1741442319,,,,,,,,,,leite egua,2025-03-08T13:58:39.000Z,"[\"piraque\"]","[\"piraque\"]",piraque,"[\"en:ayurvedic-herb\"]","[\"ayurvedic-herb\"]",ayurvedic-herb,"[\"en:brazil\"]","[\"brazil\"]",brazil,2025-03-08,1,1,0,0.2857142857142857,
93.0,Organic Cacao Powder,sevenhills wholefoods,"plant-based foods and beverages, plant-based foods, breakfasts, cereals and potatoes, seeds, cereals and their products, breakfast cereals, cereal grains, chia, en:cocoa-and-chocolate-powders","en:plant-based-foods-and-beverages,en:plant-based-foods,en:breakfasts,en:cereals-and-potatoes,en:seeds,en:cereals-and-their-products,en:cocoa-and-its-products,en:breakfast-cereals,en:cereal-grains,en:cocoa-and-chocolate-powders,en:chia",france,en:france,unknown,,1745613676,271.0,1134.0,5.8,3.1,8.0,0.001575,8.0,,6.3E-4,Organic Cacao Powder,2025-04-25T20:41:16.000Z,"[\"sevenhills wholefoods\"]","[\"sevenhills wholefoods\"]",sevenhills wholefoods,"[\"en:plant-based-foods-and-beverages\",\"en:plant-based-foods\",\"en:breakfasts\",\"en:cereals-and-potatoes\",\"en:seeds\",\"en:cereals-and-their-products\",\"en:cocoa-and-its-products\",\"en:breakfast-cereals\",\"en:cereal-grains\",\"en:cocoa-and-chocolate-powders\",\"en:chia\"]","[\"plant-based-foods-and-beverages\",\"plant-based-foods\",\"breakfasts\",\"cereals-and-potatoes\",\"seeds\",\"cereals-and-their-products\",\"cocoa-and-its-products\",\"breakfast-cereals\",\"cereal-grains\",\"cocoa-and-chocolate-powders\",\"chia\"]",plant-based-foods-and-beverages,"[\"en:france\"]","[\"france\"]",france,2025-04-25,1,1,5,1.0,
99.0,coffee,sunergetic,coffee,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:coffees",españa,en:spain,unknown,,1730038053,,,,,,,,,,coffee,2024-10-27T14:07:33.000Z,"[\"sunergetic\"]","[\"sunergetic\"]",sunergetic,"[\"en:plant-based-foods-and-beverages\",\"en:plant-based-foods\",\"en:coffees\"]","[\"plant-based-foods-and-beverages\",\"plant-based-foods\",\"coffees\"]",plant-based-foods-and-beverages,"[\"en:spain\"]","[\"spain\"]",spain,2024-10-27,1,1,0,0.2857142857142857,
106.0,Snep vegan plus,triple sec/curacao,"beverages and beverages preparations, beverages","en:beverages-and-beverages-preparations,en:beverages","spanien, germany","en:germany,en:spain",e,,1736850869,216.91,908.0,7.23,4.03,17.95,0.3,18.53,1.9,0.12,Snep vegan plus,2025-01-14T10:34:29.000Z,"[\"triple sec/curacao\"]","[\"triple sec/curacao\"]",triple sec/curacao,"[\"en:beverages-and-beverages-preparations\",\"en:beverages\"]","[\"beverages-and-beverages-preparations\",\"beverages\"]",beverages-and-beverages-preparations,"[\"en:germany\",\"en:spain\"]","[\"germany\",\"spain\"]",germany,2025-01-14,1,1,5,1.0,
120.0,Probiotic,yuve,,,"irland, germany","en:germany,en:ireland",unknown,,1745334283,10.0,42.0,,,,,,,,Probiotic,2025-04-22T15:04:43.000Z,"[\"yuve\"]","[\"yuve\"]",yuve,,,,"[\"en:germany\",\"en:ireland\"]","[\"germany\",\"ireland\"]",germany,2025-04-22,1,1,1,0.42857142857142855,
122.0,High protein iced coffee  latte macchiato,herbalife,,,stati uniti d'america,en:united-states,unknown,,1728036680,364.0,,4.59999990463257,2.29999995231628,3.20000004768372,,68.0,2.29999995231628,,High protein iced coffee  latte macchiato,2024-10-04T10:11:20.000Z,"[\"herbalife\"]","[\"herbalife\"]",herbalife,,,,"[\"en:united-states\"]","[\"united-states\"]",united-states,2024-10-04,1,1,4,0.8571428571428571,
145.0,MK Gold Bread Mix,mk nutrition,,,en:it,en:italy,unknown,,1728035054,386.0,,13.0,1.5,1.0,1.65,53.0,0.5,0.66,MK Gold Bread Mix,2024-10-04T09:44:14.000Z,"[\"mk nutrition\"]","[\"mk nutrition\"]",mk nutrition,,,,"[\"en:italy\"]","[\"italy\"]",italy,2024-10-04,1,1,5,1.0,
194.0,Bio Walnusskerne Achtel kerne,biojoy,"plant-based foods and beverages, plant-based foods, nuts and their products, nuts, shelled nuts, walnuts, walnut kernels","en:plant-based-foods-and-beverages,en:plant-based-foods,en:nuts-and-their-products,en:nuts,en:shelled-nuts,en:walnuts,en:walnut-kernels",germany,en:germany,b,1,1730562705,,,65.8,6.6,8.31,0.01,14.2,3.6,0.004,Bio Walnusskerne Achtel kerne,2024-11-02T15:51:45.000Z,"[\"biojoy\"]","[\"biojoy\"]",biojoy,"[\"en:plant-based-foods-and-beverages\",\"en:plant-based-foods\",\"en:nuts-and-their-products\",\"en:nuts\",\"en:shelled-nuts\",\"en:walnuts\",\"en:walnut-kernels\"]","[\"plant-based-foods-and-beverages\",\"plant-based-foods\",\"nuts-and-their-products\",\"nuts\",\"shelled-nuts\",\"walnuts\",\"walnut-kernels\"]",plant-based-foods-and-beverages,"[\"en:germany\"]","[\"germany\"]",germany,2024-11-02,1,1,4,0.8571428571428571,
209.0,Whey Protein,bulk supplements,,,en:ireland,en:ireland,unknown,,1729225377,120.0,502.0,2.59999990463257,1.5,1.0,,23.0,,,Whey Protein,2024-10-18T04:22:57.000Z,"[\"bulk supplements\"]","[\"bulk supplements\"]",bulk supplements,,,,"[\"en:ireland\"]","[\"ireland\"]",ireland,2024-10-18,1,1,4,0.8571428571428571,
210.0,Kalogel,,,,en:es,en:spain,unknown,,1740180701,,,,,,,,,,Kalogel,2025-02-21T23:31:41.000Z,,,,,,,"[\"en:spain\"]","[\"spain\"]",spain,2025-02-21,1,0,0,0.14285714285714285,
213.0,PROTEIN PANCAKE,weider,,,en:ireland,en:ireland,unknown,,1734440462,206.0,862.0,7.0,1.3,2.8,,6.9,,,PROTEIN PANCAKE,2024-12-17T13:01:02.000Z,"[\"weider\"]","[\"weider\"]",weider,,,,"[\"en:ireland\"]","[\"ireland\"]",ireland,2024-12-17,1,1,4,0.8571428571428571,
215.0,Riso rosso,scotti,,,en:it,en:italy,unknown,,1659349155,173.0,724.0,1.9,0.3,3.2,1.22,8.8,,0.488,Riso rosso,2022-08-01T10:19:15.000Z,"[\"scotti\"]","[\"scotti\"]",scotti,,,,"[\"en:italy\"]","[\"italy\"]",italy,2022-08-01,1,1,5,1.0,
274.0,Protine,redcon1,,,en:it,en:italy,unknown,4,1731885255,413.0,,6.35,3.17,6.35,0.754,76.2,0.0,0.302,Protine,2024-11-17T23:14:15.000Z,"[\"redcon1\"]","[\"redcon1\"]",redcon1,,,,"[\"en:italy\"]","[\"italy\"]",italy,2024-11-17,1,1,5,1.0,
299.0,,,,,en:united states,en:united-states,unknown,,1728035352,,,,,,,,,,,2024-10-04T09:49:12.000Z,,,,,,,"[\"en:united-states\"]","[\"united-states\"]",united-states,2024-10-04,0,0,0,0.0,
341.0,Hydration Mix,biosteel,,,en:ireland,en:ireland,unknown,4,1735770828,71.4,300.0,0.0,,0.0,5.0,0.0,0.0,2.0,Hydration Mix,2025-01-01T22:33:48.000Z,"[\"biosteel\"]","[\"biosteel\"]",biosteel,,,,"[\"en:ireland\"]","[\"ireland\"]",ireland,2025-01-01,1,1,5,1.0,
350.0,,,sofregit,ca:sofregit,en:spain,en:spain,unknown,,1748694425,,,,,,,,,,,2025-05-31T12:27:05.000Z,,,,"[\"ca:sofregit\"]","[\"sofregit\"]",sofregit,"[\"en:spain\"]","[\"spain\"]",spain,2025-05-31,0,0,0,0.0,
355.0,Morinda più,,,,en:it,en:italy,unknown,,1728035456,,,,,,,,,,Morinda più,2024-10-04T09:50:56.000Z,,,,,,,"[\"en:italy\"]","[\"italy\"]",italy,2024-10-04,1,0,0,0.14285714285714285,
364.0,Baguette bio au levain,,,,en:fr,en:france,unknown,,1727970330,,,,,,0.0,,,0.0,Baguette bio au levain,2024-10-03T15:45:30.000Z,,,,,,,"[\"en:france\"]","[\"france\"]",france,2024-10-03,1,0,1,0.2857142857142857,
365.0,Coffret Vendôme T2,live conscious,,,en:fr,en:france,unknown,4,1741045264,526.0,,38.1,13.41,29.58,11.0,7.55,4.49,4.4,Coffret Vendôme T2,2025-03-03T23:41:04.000Z,"[\"live conscious\"]","[\"live conscious\"]",live conscious,,,,"[\"en:france\"]","[\"france\"]",france,2025-03-03,1,1,5,1.0,
369.0,Queso cabra,,,,en:es,en:spain,unknown,,1593449779,336.0,,27.7,16.6,0.12,1.9,19.7,,0.76,Queso cabra,2020-06-29T16:56:19.000Z,,,,,,,"[\"en:spain\"]","[\"spain\"]",spain,2020-06-29,1,0,5,0.8571428571428571,
457.0,,,,,en:france,en:france,unknown,,1728034831,,,,,,,,,,,2024-10-04T09:40:31.000Z,,,,,,,"[\"en:france\"]","[\"france\"]",france,2024-10-04,0,0,0,0.0,
466.0,Wellness Noci sgusciate,,,,en:it,en:italy,unknown,,1728034833,721.0,,69.0,6.1,1.5,,0.06,5.9,,Wellness Noci sgusciate,2024-10-04T09:40:33.000Z,,,,,,,"[\"en:italy\"]","[\"italy\"]",italy,2024-10-04,1,0,4,0.7142857142857143,
484.0,Whey Protein,topcare,"breakfasts, spreads, sweet spreads, bee products, farming products, sweeteners, honeys, dietary supplements, flower honeys, bodybuilding supplements, protein powders, supplement","en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys,en:dietary-supplements,en:flower-honeys,en:bodybuilding-supplements,en:protein-powders,en:supplement",en:fr,en:france,not-applicable,2,1735397221,,,,,,,,,,Whey Protein,2024-12-28T14:47:01.000Z,"[\"topcare\"]","[\"topcare\"]",topcare,"[\"en:breakfasts\",\"en:spreads\",\"en:sweet-spreads\",\"en:bee-products\",\"en:farming-products\",\"en:sweeteners\",\"en:honeys\",\"en:dietary-supplements\",\"en:flower-honeys\",\"en:bodybuilding-supplements\",\"en:protein-powders\",\"en:supplement\"]","[\"breakfasts\",\"spreads\",\"sweet-spreads\",\"bee-products\",\"farming-products\",\"sweeteners\",\"honeys\",\"dietary-supplements\",\"flower-honeys\",\"bodybuilding-supplements\",\"protein-powders\",\"supplement\"]",breakfasts,"[\"en:france\"]","[\"france\"]",france,2024-12-28,1,1,0,0.2857142857142857,
485.0,Miel,,"petit-déjeuners, produits à tartiner, produits à tartiner sucrés, produits de la ruche, produits d'élevages, édulcorants, miels","en:breakfasts,en:spreads,en:sweet-spreads,en:bee-products,en:farming-products,en:sweeteners,en:honeys",en:fr,en:france,unknown,2,1728034744,,,,,,0.0,,,0.0,Miel,2024-10-04T09:39:04.000Z,,,,"[\"en:breakfasts\",\"en:spreads\",\"en:sweet-spreads\",\"en:bee-products\",\"en:farming-products\",\"en:sweeteners\",\"en:honeys\"]","[\"breakfasts\",\"spreads\",\"sweet-spreads\",\"bee-products\",\"farming-products\",\"sweeteners\",\"honeys\"]",breakfasts,"[\"en:france\"]","[\"france\"]",france,2024-10-04,1,0,1,0.2857142857142857,
490.0,Sun chips original,sun chips,"snacks, all, fr:chips, shake, meal-replacement","en:snacks,en:salty-snacks,en:appetizers,en:chips-and-fries,en:meals,en:crisps,en:meal-replacements,en:all,en:shake",en:united states,en:united-states,not-applicable,,1742418717,16.6666666666667,70.0,,,3.33333333333333,,0.277777777777778,,,Sun chips original,2025-03-19T21:11:57.000Z,"[\"sun chips\"]","[\"sun chips\"]",sun chips,"[\"en:snacks\",\"en:salty-snacks\",\"en:appetizers\",\"en:chips-and-fries\",\"en:meals\",\"en:crisps\",\"en:meal-replacements\",\"en:all\",\"en:shake\"]","[\"snacks\",\"salty-snacks\",\"appetizers\",\"chips-and-fries\",\"meals\",\"crisps\",\"meal-replacements\",\"all\",\"shake\"]",snacks,"[\"en:united-states\"]","[\"united-states\"]",united-states,2025-03-19,1,1,3,0.7142857142857143,
496.0,,,,,,,unknown,,1728038564,,,,,,,,,,,2024-10-04T10:42:44.000Z,,,,,,,,,,2024-10-04,0,0,0,0.0,
497.0,Financier au thé vert,,,,en:fr,en:france,unknown,,1682413147,,,,,,,,,,Financier au thé vert,2023-04-25T08:59:07.000Z,,,,,,,"[\"en:france\"]","[\"france\"]",france,2023-04-25,1,0,0,0.14285714285714285,
510.0,Love,powermeals,,,en:ireland,en:ireland,unknown,,1728035738,127.714285714286,534.0,9.14285714285714,6.28571428571429,3.71428571428571,,2.0,,,Love,2024-10-04T09:55:38.000Z,"[\"powermeals\"]","[\"powermeals\"]",powermeals,,,,"[\"en:ireland\"]","[\"ireland\"]",ireland,2024-10-04,1,1,4,0.8571428571428571,
530.0,Poulet tandoori,powermeals,,,en:ireland,en:ireland,unknown,,1728035761,183.142857142857,766.0,9.02857153756278,2.60000010899135,0.514285700661795,,24.3714294433594,0.0571428579943521,,Poulet tandoori,2024-10-04T09:56:01.000Z,"[\"powermeals\"]","[\"powermeals\"]",powermeals,,,,"[\"en:ireland\"]","[\"ireland\"]",ireland,2024-10-04,1,1,4,0.8571428571428571,
600.0,Crema di nocciola al Gianduia,,,,en:it,en:italy,unknown,,1728034750,504.0,,29.6,2.2,49.3,3.2,10.5,3.6,1.28,Crema di nocciola al Gianduia,2024-10-04T09:39:10.000Z,,,,,,,"[\"en:italy\"]","[\"italy\"]",italy,2024-10-04,1,0,5,0.8571428571428571,
682.0,,,,,en:united kingdom,en:united-kingdom,unknown,,1728039004,,,,,,,,,,,2024-10-04T10:50:04.000Z,,,,,,,"[\"en:united-kingdom\"]","[\"united-kingdom\"]",united-kingdom,2024-10-04,0,0,0,0.0,
704.0,Creme de Cassis de Dijon Massenez,likör,"getränke und getränkezubereitungen, getränke","en:beverages-and-beverages-preparations,en:beverages",en:germany,en:germany,unknown,,1736859661,,,,,,,,,,Creme de Cassis de Dijon Massenez,2025-01-14T13:01:01.000Z,"[\"likör\"]","[\"likör\"]",likör,"[\"en:beverages-and-beverages-preparations\",\"en:beverages\"]","[\"beverages-and-beverages-preparations\",\"beverages\"]",beverages-and-beverages-preparations,"[\"en:germany\"]","[\"germany\"]",germany,2025-01-14,1,1,0,0.2857142857142857,
766.0,Thrive Plant Protein - Chocolate Swirl,naked harvest,"beverages, alcoholic beverages, wines","en:beverages,en:alcoholic-beverages,en:wines",australia,en:australia,not-applicable,3,1728040049,45.0,,3.6,1.4,1.0,0.86,60.0,0.0,0.344,Thrive Plant Protein - Chocolate Swirl,2024-10-04T11:07:29.000Z,"[\"naked harvest\"]","[\"naked harvest\"]",naked harvest,"[\"en:beverages\",\"en:alcoholic-beverages\",\"en:wines\"]","[\"beverages\",\"alcoholic-beverages\",\"wines\"]",beverages,"[\"en:australia\"]","[\"australia\"]",australia,2024-10-04,1,1,5,1.0,
779.0,Fyta chocolate plant protein,fyta,,,en:ireland,en:ireland,unknown,,1728040444,355.555555555556,,4.44444444444444,,,,66.6666666666667,6.66666666666667,,Fyta chocolate plant protein,2024-10-04T11:14:04.000Z,"[\"fyta\"]","[\"fyta\"]",fyta,,,,"[\"en:ireland\"]","[\"ireland\"]",ireland,2024-10-04,1,1,3,0.7142857142857143,
792.0,,,,,en:germany,en:germany,unknown,,1728040510,,,,,,,,,,,2024-10-04T11:15:10.000Z,,,,,,,"[\"en:germany\"]","[\"germany\"]",germany,2024-10-04,0,0,0,0.0,
804.0,Martini Riserva Rubino,vermouth,"getränke und getränkezubereitungen, getränke","en:beverages-and-beverages-preparations,en:beverages",en:germany,en:germany,unknown,,1736860124,,,,,,,,,,Martini Riserva Rubino,2025-01-14T13:08:44.000Z,"[\"vermouth\"]","[\"vermouth\"]",vermouth,"[\"en:beverages-and-beverages-preparations\",\"en:beverages\"]","[\"beverages-and-beverages-preparations\",\"beverages\"]",beverages-and-beverages-preparations,"[\"en:germany\"]","[\"germany\"]",germany,2025-01-14,1,1,0,0.2857142857142857,
808.0,Menthe poivrée,aroma zone,,,france,en:france,unknown,,1728036033,,,,,,,,,,Menthe poivrée,2024-10-04T10:00:33.000Z,"[\"aroma zone\"]","[\"aroma zone\"]",aroma zone,,,,"[\"en:france\"]","[\"france\"]",france,2024-10-04,1,1,0,0.2857142857142857,
844.0,Confiture de lait de brebis bio,confiture de lait,"petit-déjeuners, produits à tartiner, produits à tartiner sucrés, confitures de lait","en:breakfasts,en:spreads,en:sweet-spreads,en:milk-jams",en:fr,en:france,e,,1728036063,332.0,,9.6,6.8,48.0,0.26,8.8,,0.104,Confiture de lait de brebis bio,2024-10-04T10:01:03.000Z,"[\"confiture de lait\"]","[\"confiture de lait\"]",confiture de lait,"[\"en:breakfasts\",\"en:spreads\",\"en:sweet-spreads\",\"en:milk-jams\"]","[\"breakfasts\",\"spreads\",\"sweet-spreads\",\"milk-jams\"]",breakfasts,"[\"en:france\"]","[\"france\"]",france,2024-10-04,1,1,5,1.0,
999.0,Paprika rot,,en:sweet-peppers,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetable-based-foods-and-beverages,en:vegetables-based-foods,en:vegetables,en:sweet-peppers",en:germany,en:germany,unknown,,1750185531,,,,,,,,,,Paprika rot,2025-06-17T18:38:51.000Z,,,,"[\"en:plant-based-foods-and-beverages\",\"en:plant-based-foods\",\"en:fruits-and-vegetables-based-foods\",\"en:vegetable-based-foods-and-beverages\",\"en:vegetables-based-foods\",\"en:vegetables\",\"en:sweet-peppers\"]","[\"plant-based-foods-and-beverages\",\"plant-based-foods\",\"fruits-and-vegetables-based-foods\",\"vegetable-based-foods-and-beverages\",\"vegetables-based-foods\",\"vegetables\",\"sweet-peppers\"]",plant-based-foods-and-beverages,"[\"en:germany\"]","[\"germany\"]",germany,2025-06-17,1,0,0,0.14285714285714285,
1006.0,Organic Molasses,"buffalo molasses, eigenproduktion",,,"ireland, germany, world","en:germany,en:ireland,en:world",unknown,,1728358938,351.25,,8.3,1.11,18.17,0.0,6.78,,0.0,Organic Molasses,2024-10-08T03:42:18.000Z,"[\"buffalo molasses\",\"eigenproduktion\"]","[\"buffalo molasses\",\"eigenproduktion\"]",buffalo molasses,,,,"[\"en:germany\",\"en:ireland\",\"en:world\"]","[\"germany\",\"ireland\",\"world\"]",germany,2024-10-08,1,1,5,1.0,
